"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.213180541992","110.788177490234","109.440963745117","111.010833740234","109.214302062988","110.839050292969","111.37671661377","114.251152038574","115.211578369141","113.091613769531","113.801788330078","113.794296264648","105.255859375","104.087127685547","116.03929901123","117.108093261719","","","","","","",
"Africa Eastern and Southern","AFE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","31.1765899658203","32.0076103210449","32.261890411377","32.5842208862305","33.1082992553711","34.1851997375488","35.2320518493652","36.1114883422852","37.637020111084","","44.1333694458008","47.7117004394531","17.3088207244873","","21.99169921875","23.9128494262695","25.8516693115234","","32.5450096130371","30.2520008087158","29.0414199829102","27.4142208099365","","29.1031494140625","40.0001411437988","42.7514305114746","","","31.0533504486084","25.3079700469971","20.9575805664063","20.8829097747803","68.9868469238281","93.3621826171875","104.663818359375","98.0998916625977","101.697853088379","98.9335098266602","100.779731750488","96.8964004516602","100.071708679199","97.6416397094727","103.492393493652","104.498428344727","105.919708251953","103.534523010254","102.486473083496","102.175788879395","103.996162414551","","",
"Africa Western and Central","AFW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","58.5702705383301","64.2982177734375","67.9073333740234","75.8887710571289","","","","","","142.744094848633","123.538421630859","114.47566986084","103.944023132324","91.8241424560547","73.3791275024414","79.3919372558594","79.4646835327148","77.8654632568359","77.5963592529297","73.0395889282227","66.8043670654297","64.2471466064453","","","","","","71.5319519042969","","","","","","","","","98.9735794067383","105.180206298828","104.130569458008","105.781036376953","119.530143737793","","","","113.477958679199","","","","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","119.329742431641","","114.955192565918","112.151069641113","107.443969726563","104.951957702637","103.527709960938","102.566459655762","103.489356994629","103.677833557129","103.563209533691","101.456420898438","99.5847702026367","99.4375076293945","99.4517517089844","101.23314666748","99.5558700561523","98.520263671875","101.528793334961","104.043838500977","106.301818847656","108.019882202148","107.171157836914","105.73664855957","104.196189880371","102.96736907959","101.411506652832","100.005142211914","98.1780014038086","100.676040649414","97.8757095336914","96.3456268310547","95.682502746582","93.1045608520508","93.4904708862305","95.0060806274414","97.5851287841797","99.9839096069336","104.108039855957","105.542976379395","105.553863525391","107.046600341797","106.993423461914","104.81273651123","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","88.5691070556641","","","","","","","","106.442657470703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","67.26249","67.35587","68.89031","70.11495","70.43562","71.76981","73.52369","74.38473","74.6695","76.44023","77.64748","77.83724","78.67481","79.51752","80.46938","80.41177","81.15116","82.35914","82.84991","82.76159","83.37965","83.86091","81.35241","81.9674","84.55638","83.37125","85.66902","86.30764","86.87344","88.01455","88.66827","89.46537","90.67297","91.65731","92.04268","92.56015","93.54513","94.05211","94.95773","95.28881","96.01291","95.59116","97.51347","96.37268","95.9846","95.49426","95.33702","95.39558","95.54203","95.64803","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","80.0647506713867","86.0388488769531","87.6293106079102","85.5717315673828","84.6658935546875","94.425651550293","99.1398620605469","97.7949523925781","93.8369674682617","91.5347213745117","88.5028305053711","92.6396026611328","93.1924285888672","93.8544311523438","93.4890365600586","94.3054122924805","95.7828674316406","98.8788604736328","103.495552062988","107.339332580566","107.838012695313","102.857879638672","100.094017028809","100.342346191406","101.063629150391","98.0754699707031","93.895378112793","90.3612289428711","","","","","","","","","101.589828491211","","","","","99.9434432983398","98.6668930053711","103.073516845703","111.542762756348","108.672706604004","108.39705657959","","","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.821311950684","106.506286621094","106.038307189941","105.592231750488","106.32186126709","106.099891662598","105.753059387207","106.66185760498","106.277099609375","106.766578674316","106.895767211914","107.608009338379","107.83699798584","","106.028717041016","106.174377441406","107.024520874023","107.391807556152","107.966346740723","","106.91242980957","108.99739074707","","","110.97087097168","","110.220222473145","107.086303710938","111.541656494141","114.496871948242","115.694129943848","116.25016784668","116.798431396484","114.494667053223","115.806053161621","115.29914855957","117.203300476074","118.051109313965","118.593460083008","117.905982971191","116.975761413574","115.614730834961","114.227172851563","112.011947631836","111.459671020508","111.303413391113","110.739181518555","109.74146270752","","","",
